puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
5atPy5gR8TgYXIKaChRPRsLUr3AxdCZhbCm0ddSOJRYfzqMk1ytjIHZukSCDK2Ge,False,MIDDLE,CARRY,JUNGLE,TOP,7,12,145,True,2019,True,False,5,False,True,True,True,1,2,1,1,2,14,2,3,3,5,3,2,0,6,2,10,2,3,5,5,4,5,12859,11416,2,0,28,509,9,1,478,6138,3453,690,11,1,1,2,1,7704,6726,589,1,22,46,27,4,18,25,39,27,True,200,183,15028,4868,1071,9364,4771,1690,67,174,1,1418,192,178,5,3,1,41
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,TOP,SUPPORT,TOP,MIDDLE,10,12,181,True,2735,False,True,3,False,False,True,False,1,3,0,1,4,0,2,3,1,5,2,2,0,10,1,3,4,0,2,4,3,0,18851,13496,1,0,19,663,2,2,840,12284,3562,1919,39,1,0,2,4,19990,3103,2835,3,47,47,12,3,45,7,30,14,False,200,189,14105,6397,1146,13138,1271,287,46,194,1,850,222,407,4,0,1,40
OuntU6JXnqKN2Nqn5UigoSTME01PX5uja7ulvH3Y06jYRyvkjEW4rJrtA8mg2iI5,True,BOTTOM,NONE,TOP,MIDDLE,10,10,198,False,2480,True,True,1,False,True,False,True,0,2,1,1,9,9,3,1,2,2,2,0,0,9,1,1,0,3,2,0,3,4,13465,14898,2,2,16,876,7,1,654,13795,4548,1048,10,0,0,3,1,15368,1969,2848,2,39,17,18,4,10,16,48,28,False,100,113,21305,3960,1198,6310,3624,1012,75,245,3,1291,444,374,2,2,0,37
d20Yj2NfHtz9XshTwR4EOq0ox7ksyRKPQZfhtmGBOvYKxVsYl8YX7b78nKCUn44c,False,MIDDLE,CARRY,MIDDLE,TOP,11,7,249,True,1584,True,True,0,False,False,True,True,2,2,1,1,1,14,1,2,2,5,1,1,0,1,2,6,2,1,4,1,1,5,11996,8820,3,1,16,776,7,2,827,7886,4227,662,16,1,1,3,9,16354,1835,2904,2,50,11,12,2,45,1,48,11,True,200,63,26006,6293,1200,9370,2116,1481,17,182,4,1715,153,494,2,3,1,24
g1O7BBBUqgVZ7zMBF597HMz5x6Mvtt94JeLUoEjec0JYwTVpLh4lCSmSfuIcyE8C,True,MIDDLE,SOLO,MIDDLE,BOTTOM,0,6,127,True,2755,False,False,0,False,False,False,True,5,2,0,1,3,14,2,3,2,3,3,0,1,8,3,7,0,3,0,0,0,4,13308,12934,2,2,17,1359,4,1,412,11541,3452,1275,24,1,1,2,5,9059,4978,2619,2,27,35,21,5,34,18,39,2,False,100,89,16956,5135,847,6489,4613,251,18,296,2,957,830,148,5,0,1,13
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,MIDDLE,SOLO,JUNGLE,JUNGLE,1,12,124,False,2584,True,True,5,False,True,True,True,5,3,0,0,5,10,2,0,2,4,1,2,0,6,4,1,0,0,3,3,4,5,12784,14557,2,2,25,1358,7,2,659,14908,2978,1587,38,1,0,3,10,15455,2339,1316,1,37,22,33,3,31,3,33,29,True,200,95,18297,5702,129,7027,4639,989,55,286,3,771,706,427,5,2,0,24
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,MIDDLE,NONE,BOTTOM,MIDDLE,12,6,132,False,1538,True,False,0,True,True,False,True,1,1,0,0,8,10,2,0,3,0,3,0,0,6,6,2,3,4,2,1,3,5,11434,11634,0,1,28,1046,1,0,504,10761,3247,1024,38,0,1,2,10,9043,3267,1547,0,42,32,44,2,24,10,27,6,True,100,63,24562,2123,264,11561,1792,759,54,276,1,1631,457,309,5,1,0,19
W2q2gXZNHuRKdg0TBBq05TBtXM7qQcxiJe6a7CcTEa4qFTaAAeg5vAXZT3vRpIKv,True,JUNGLE,NONE,BOTTOM,JUNGLE,10,6,292,False,1057,False,True,2,True,False,True,False,4,2,1,0,6,3,0,3,0,5,0,1,1,4,8,3,0,4,1,3,1,3,10611,9635,2,2,15,1125,8,2,558,7926,3689,1941,26,0,0,0,8,12814,2644,2252,1,48,20,20,1,43,8,36,21,False,100,99,22367,9692,774,14925,2411,457,18,135,2,1276,845,411,1,2,1,25
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,JUNGLE,SOLO,MIDDLE,JUNGLE,9,3,141,False,2174,False,True,2,True,False,True,True,2,0,1,1,1,5,3,0,0,5,2,2,1,1,5,10,2,5,4,5,2,1,15685,10789,2,0,25,805,9,3,708,12507,3410,714,27,1,1,2,7,15618,1755,616,1,18,43,49,3,10,17,41,5,True,100,176,23486,2046,1430,10292,3780,126,49,154,3,847,204,336,4,1,0,12
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,BOTTOM,SOLO,BOTTOM,JUNGLE,5,1,283,False,1164,False,True,3,True,True,True,True,3,2,1,1,9,15,1,1,2,5,2,1,1,1,1,6,3,0,2,5,2,1,18472,12541,3,2,27,973,2,1,653,11525,2084,726,46,1,1,0,10,8763,1920,1760,3,12,29,44,5,48,9,42,7,False,100,182,20176,2158,1029,13870,4692,282,18,130,2,872,607,490,1,3,1,38
