puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
jPvVWYT3cWxWLOcjqEK6KvfIf7xqXipwhnAZPoIywOwRdE1BkvxEx62upGPtvjaG,True,JUNGLE,SOLO,JUNGLE,TOP,3,0,272,True,2777,True,False,4,False,True,True,False,3,1,1,1,6,2,1,3,1,2,0,0,0,3,2,3,3,1,5,0,2,0,14400,9870,0,0,25,654,10,2,428,14232,1600,889,32,0,1,3,4,19183,5826,515,0,41,40,29,5,39,8,29,2,True,200,77,22330,8308,1009,14155,4700,787,45,287,5,1211,912,258,5,1,1,45
0KuePK5dOWHUEnrsVaVdUoALzKq50ONuFQiKItYSZce3CQbUy6BJrWSUGPVpbS3t,True,JUNGLE,SOLO,MIDDLE,MIDDLE,5,6,219,True,2235,False,False,2,True,True,False,True,2,3,1,1,3,2,2,1,2,2,2,0,1,2,5,1,2,5,3,3,1,5,12924,11512,0,0,28,844,6,0,832,12679,1986,1996,22,1,1,3,1,9675,6181,785,0,16,10,29,4,46,28,47,10,True,200,139,22532,8800,231,13784,1371,183,16,209,2,1936,105,443,2,3,0,22
4XCqKWxLbevLQR9WWaIAqFeuVsjfA2ZHaL255csqBF7a1RBfW4UIFeLEHDDpv6qV,True,MIDDLE,CARRY,JUNGLE,TOP,5,10,145,True,1433,True,False,1,False,False,True,False,5,0,1,0,2,15,2,0,0,1,1,2,1,6,10,9,4,3,3,2,2,3,12983,13353,0,1,26,1098,0,2,400,11778,3070,543,46,0,0,1,3,18672,5680,954,0,39,10,48,3,40,28,15,3,True,200,165,25982,6801,79,9190,4271,626,39,247,5,1062,647,121,5,1,1,33
cgoPIjV6PZJ4wvmaaGyQiWjjMaoZCRTDdqjb7ENcnDsFWReIqQGJ3FmTZy2qy3Fz,False,BOTTOM,SUPPORT,TOP,BOTTOM,5,10,224,True,1711,True,True,3,False,True,False,True,3,1,1,1,0,10,2,3,0,4,3,1,0,5,9,9,0,2,5,2,3,4,18011,9881,2,0,15,780,5,3,441,12568,1173,846,44,1,1,0,5,6218,7676,852,1,31,37,19,4,23,13,15,9,True,100,152,18689,5557,1504,5975,3679,413,70,266,3,1323,742,395,2,1,1,17
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,BOTTOM,CARRY,MIDDLE,MIDDLE,0,3,264,True,1996,False,True,2,False,True,False,False,5,1,0,1,4,11,2,1,3,0,0,0,0,0,10,6,3,4,3,4,3,3,16280,8655,0,2,21,1265,5,0,311,9709,1059,1120,45,1,1,3,5,12625,3382,1300,3,35,32,44,1,10,18,41,30,False,100,153,28569,3381,1893,6317,2494,1278,92,277,3,766,576,230,1,3,1,11
Jb2JsZKwYGNK2jjQBZmGgAqQsDt1SJakJFtl6ltcPdi6pvxDWpZX8w1Nb3tl3oKc,True,TOP,CARRY,BOTTOM,BOTTOM,12,13,147,True,2685,True,True,2,False,False,True,True,2,2,0,1,4,4,3,1,1,4,2,1,1,1,10,3,4,4,5,1,5,3,12590,8829,3,1,23,909,9,3,331,12108,3202,1862,47,1,1,3,7,6206,3045,1982,2,10,15,43,2,13,26,40,16,False,200,115,28173,6872,91,12563,4160,196,54,114,3,1092,697,485,3,2,0,38
VEB22vlkFzEk6kL8yeJxyweLEM9hILPObwc9WlPkvQMTFAOe0qN15qqyYZwohTZI,False,TOP,SUPPORT,BOTTOM,JUNGLE,7,14,214,True,1131,False,True,3,True,True,False,True,1,0,0,1,2,11,1,3,3,1,1,2,1,7,4,7,2,0,5,4,2,4,16287,8481,1,2,20,1344,10,1,713,11813,3415,1053,37,0,1,2,4,7316,1828,1161,2,42,37,45,2,10,3,17,24,False,200,83,12234,5640,1583,10652,1198,1551,46,226,1,1968,833,441,2,1,1,18
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,TOP,SUPPORT,JUNGLE,JUNGLE,4,14,129,False,2288,True,True,4,False,True,False,False,2,3,0,1,9,10,1,0,0,3,3,2,0,10,3,5,2,2,4,0,3,1,10457,9855,1,2,18,1165,4,1,643,9374,2366,1717,21,0,1,0,3,5198,3870,1841,1,10,13,23,4,17,14,42,8,True,200,148,19212,9824,1742,10508,4858,1861,48,296,4,1925,309,353,3,3,0,33
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,SOLO,MIDDLE,TOP,10,10,147,False,1966,False,True,5,False,True,False,True,2,1,0,0,6,1,0,1,0,4,0,0,0,7,8,0,1,3,2,1,5,3,17949,12955,0,2,23,641,4,3,823,5064,3269,831,32,0,0,2,4,18924,6987,1539,1,20,45,41,1,39,25,21,29,True,200,150,10207,5420,441,5109,2256,642,38,287,1,775,446,469,1,3,0,23
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,MIDDLE,SOLO,MIDDLE,BOTTOM,6,10,135,True,2347,False,False,4,True,False,True,True,0,2,1,0,1,1,2,3,0,5,3,2,0,1,3,9,0,1,4,3,1,3,8365,9730,0,0,16,827,9,2,354,10669,2800,671,10,0,1,1,5,9802,4225,2354,3,26,28,24,5,34,3,46,6,True,200,161,20230,9475,484,11709,1015,46,74,260,5,842,299,129,5,1,0,18
