puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,SOLO,TOP,BOTTOM,15,9,247,False,1632,False,False,0,False,True,False,False,2,2,1,1,8,10,1,0,2,3,2,1,0,8,10,9,1,1,1,0,0,1,10861,12711,0,2,19,831,3,2,677,9750,4255,1926,20,1,1,0,3,14780,5699,1619,1,15,15,37,4,50,15,39,9,False,200,157,27119,7536,646,14543,2697,666,44,138,5,1643,854,175,4,1,1,11
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,SOLO,BOTTOM,MIDDLE,3,3,115,False,2516,False,False,3,True,False,True,False,1,2,1,0,1,5,0,1,0,4,2,0,0,4,5,9,5,1,5,3,3,2,14504,13620,0,0,25,1082,10,2,708,14685,2487,1385,16,0,0,3,9,6432,2536,1120,1,35,20,24,4,50,8,42,13,True,100,195,18240,2495,1353,12395,4154,1968,77,105,3,1327,571,486,5,1,0,36
qSBa9jx9Vhm94icw0Su7RdQsJb7AXEJuKS7fj3gNz6FSvSph8BkoAzPrkSAPtBY5,True,TOP,SOLO,JUNGLE,BOTTOM,0,9,207,True,1435,False,False,1,False,False,True,False,4,1,1,0,1,2,2,0,1,2,1,1,0,9,4,4,1,0,0,4,0,0,11819,8457,1,2,28,733,7,1,638,11117,2472,1353,44,1,1,1,1,17098,3661,728,3,15,31,22,4,13,7,30,15,True,100,137,25027,8483,657,13783,4549,313,95,168,2,1432,630,490,1,2,0,50
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,JUNGLE,CARRY,MIDDLE,MIDDLE,9,4,295,False,2872,True,True,5,True,True,False,False,0,0,0,1,10,9,1,0,0,3,1,0,0,10,10,4,2,3,0,0,3,2,18619,12148,3,0,27,989,9,0,383,7978,4476,690,30,1,0,0,3,15960,6259,2354,3,48,16,15,1,19,25,24,25,False,100,154,29484,3609,1159,14406,2637,1558,40,147,5,823,320,116,3,3,1,47
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,TOP,CARRY,JUNGLE,BOTTOM,9,1,153,True,2121,False,True,5,False,True,True,True,2,3,0,1,7,9,0,3,1,5,3,2,0,5,10,10,0,4,0,3,2,0,12994,9412,1,1,22,861,3,2,483,6770,1805,1648,15,0,1,1,7,14561,1159,2883,2,47,27,12,4,27,16,14,25,False,100,113,12554,2982,1629,14234,2733,661,28,291,2,1570,739,382,0,2,0,42
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,CARRY,TOP,BOTTOM,15,5,104,False,2888,False,False,5,False,False,False,True,0,2,1,0,6,12,2,2,3,4,2,2,1,10,5,7,1,3,4,1,4,2,16956,9075,0,1,22,814,3,2,883,10231,2114,780,48,0,1,2,1,11338,4655,2815,1,32,20,29,4,12,21,30,19,True,100,123,11742,4263,1519,7826,2327,1682,26,144,5,594,233,290,0,0,0,24
oSg9LpJunymC49nGDTPlZbLhA4oBILdMzWudcWCo4zTpRhRA1bXZyl6MHqIuVzxs,True,TOP,SOLO,BOTTOM,MIDDLE,7,9,260,True,2942,True,False,3,False,False,False,True,3,0,1,0,7,15,0,0,1,3,3,2,1,2,8,7,2,2,1,1,2,4,12040,12336,0,1,26,867,3,0,566,11323,2368,709,11,0,0,2,10,14239,7626,941,0,29,35,23,4,24,1,50,17,True,200,81,29594,7756,1826,14532,1704,388,67,154,2,1270,877,323,0,3,1,29
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,MIDDLE,SUPPORT,TOP,TOP,8,4,186,True,2395,False,False,0,True,False,True,False,5,2,1,1,3,3,1,0,1,0,1,0,0,3,10,4,0,0,5,5,4,3,13605,10729,2,0,20,1295,10,1,542,11932,4729,1700,10,1,1,1,4,16900,7629,2809,3,35,22,45,2,35,12,41,1,True,200,107,11378,7829,347,12589,1839,524,28,199,1,1326,732,191,1,2,0,15
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,JUNGLE,CARRY,JUNGLE,JUNGLE,12,13,144,False,1265,False,True,4,True,True,True,False,3,3,1,1,9,4,0,2,2,4,2,1,1,10,4,0,5,5,0,0,0,3,12925,9113,3,1,20,929,4,1,764,10031,3461,959,25,0,1,1,5,15316,6522,1199,0,42,26,11,5,50,12,23,25,True,200,72,12008,2751,799,9749,3620,41,56,173,1,1928,210,151,3,3,1,14
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,MIDDLE,SOLO,TOP,BOTTOM,13,0,151,False,1182,False,True,2,True,False,False,True,1,2,1,1,0,0,3,0,2,0,0,1,1,9,6,4,5,0,4,1,5,2,18023,9967,2,0,30,1106,8,0,432,10128,3567,1407,16,0,1,2,8,11240,1401,1744,3,40,21,23,3,46,21,17,2,False,100,135,24537,7185,983,6391,3024,1882,86,242,1,1746,441,236,4,0,0,22
