puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
CArhipDiZAOLQ4AEjrPfknn7Oqsp3EvbkPhpRWvqsTffKWTZ6V063LNAVTxFfPX2,False,BOTTOM,SUPPORT,MIDDLE,BOTTOM,2,6,173,True,2729,False,True,1,True,False,True,True,3,2,0,1,8,8,3,1,3,1,2,2,0,4,5,0,5,0,1,0,2,2,17004,11289,2,2,30,1124,10,3,590,12024,2477,1889,35,0,1,2,3,17124,4537,1903,2,43,23,40,1,30,21,38,7,False,100,184,10004,9600,1325,6180,3560,1542,24,185,3,1001,857,252,2,0,1,50
eNwUvubiMZPjSW5LvwuN2effo82xIjaxOfxnmTKsDOZrpKkYnrdyvmpbM7GLAKNz,True,MIDDLE,SUPPORT,BOTTOM,TOP,1,11,250,False,1226,True,True,5,True,False,False,True,2,3,1,1,8,13,0,2,0,1,3,0,0,8,2,6,4,4,3,0,5,1,19366,13934,0,0,17,1471,9,0,502,10857,3399,809,43,1,1,0,10,8127,2576,2336,1,21,10,29,5,31,15,33,28,True,200,94,17822,3550,558,7432,1373,1239,71,226,1,1800,330,364,5,1,1,19
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,SOLO,JUNGLE,JUNGLE,1,7,264,False,2194,True,False,3,False,False,True,False,3,3,1,0,4,9,3,1,1,5,2,2,1,6,9,1,1,4,3,3,0,5,10637,12898,3,0,23,1059,4,2,494,5801,1573,1937,41,1,1,3,4,15608,1542,2672,1,38,34,46,2,39,25,16,15,True,100,130,16123,8633,1775,5970,1081,1263,58,162,3,613,831,447,4,1,0,40
pOc0PgZxSIwGuXUYWGhXWx2eyuuU0P6LThiXWUvHhbVlp4jMz3ohF9YA635PUaX9,False,JUNGLE,SOLO,MIDDLE,TOP,1,9,148,False,1077,True,True,1,True,True,True,True,5,2,0,0,4,11,3,3,1,3,3,2,0,6,1,10,0,3,5,2,4,1,16176,9784,3,1,16,1020,5,0,371,6116,2540,1631,34,1,0,0,2,19550,1126,815,0,45,50,37,1,45,10,32,4,False,200,127,12578,5172,315,12022,1547,810,93,153,5,1594,642,460,3,0,1,23
KCzrlbdVzw6ClxfjXi3GHraE5aSdl9GMHs79P62Q2Nu04EYFxX3Cyd9FffQJu3W6,False,JUNGLE,CARRY,MIDDLE,BOTTOM,7,8,151,True,2665,False,False,3,True,True,False,True,0,0,1,1,0,1,3,3,1,0,3,0,1,6,6,2,2,2,3,2,4,3,17241,9057,1,0,22,737,8,2,305,8506,2558,970,28,1,1,2,7,9908,1379,1776,3,15,36,34,5,26,20,12,9,True,100,113,26895,9686,1843,6848,3517,1040,69,282,1,711,895,219,2,0,0,16
b0bDzvzk0NyJkZvpNcgrmXD120I2tokhQ1yxBXEa5elW8dr51c964tHOEUoP4nyy,False,JUNGLE,CARRY,TOP,BOTTOM,2,7,226,False,2165,False,True,0,True,True,True,False,5,2,1,0,5,4,1,2,2,5,1,0,1,2,1,4,3,2,4,4,1,2,17944,8572,0,1,23,1384,10,1,397,14649,4905,1637,42,0,1,2,2,11768,2326,638,0,37,16,41,4,22,12,13,19,True,100,190,22409,6615,1660,10632,4849,1054,96,136,5,1535,482,169,4,1,0,47
gzFmSTKeviMHATtuDh0kyS5WsdzIvDNrqmi1zYdpOHAj22jkUImqXe6Vk12SVGcU,True,BOTTOM,CARRY,JUNGLE,BOTTOM,15,13,250,True,1792,False,True,2,True,True,True,False,5,1,1,0,7,12,0,3,1,3,2,1,0,10,8,4,1,4,0,5,3,0,9052,11567,3,2,18,534,2,0,529,7528,4159,1849,43,0,0,0,3,19371,1595,2839,0,45,35,21,1,14,20,29,23,True,100,130,10759,3602,1630,6750,2840,1534,83,232,2,760,419,431,1,2,1,28
GTj0Ksfx6iJsDNqpHZ235rCKWc1042t3zItBGfj6Gb3QY80t18FVrKj2HBxjLHHe,True,TOP,SOLO,BOTTOM,BOTTOM,6,2,131,True,2238,False,True,0,True,True,True,True,4,3,1,0,9,2,2,3,0,0,1,2,1,1,8,3,3,5,0,2,1,4,15845,8838,3,1,29,1190,3,2,459,13134,4422,688,23,0,0,1,6,6754,3103,2936,0,31,22,23,5,47,30,23,17,True,200,192,29662,4780,1168,10126,1022,1765,94,102,5,1524,146,476,2,2,0,13
v9XoKtrl8rBnUi4FWwlitTEPINiiEGehY86VLkXO8EYLuRuCc4kk3ZOskcBi7OkC,False,BOTTOM,SUPPORT,JUNGLE,JUNGLE,15,4,151,True,2865,True,True,5,False,False,True,True,2,1,0,1,2,5,0,0,2,3,1,2,1,2,0,9,1,5,0,4,5,4,16002,9939,2,2,23,1311,8,3,679,10796,3779,1162,26,1,0,1,4,17420,3179,1578,2,12,16,50,3,20,19,24,18,True,200,179,10736,8649,1140,11276,4708,1241,85,296,3,991,223,242,0,1,1,39
Uvh5F6yepQslTvebkL7YhDIj0MnkZHQ21rAzmTJhe7RbtOdJcVGQKJr8ZvbrF1xL,False,BOTTOM,NONE,BOTTOM,MIDDLE,9,7,114,False,2860,True,True,4,True,False,False,False,5,3,0,0,4,11,0,3,2,4,1,0,0,9,8,9,0,2,5,4,3,1,8204,8642,3,1,25,675,6,2,346,13291,2501,734,36,1,0,1,7,10124,7506,2729,0,20,45,25,5,29,10,46,17,False,100,104,13459,5919,1449,12714,1234,1173,52,276,2,581,698,455,0,3,0,50
