puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,MIDDLE,CARRY,TOP,MIDDLE,4,10,100,False,1388,False,True,4,False,False,False,True,3,2,0,0,4,12,1,0,1,4,0,2,1,4,5,2,3,3,2,4,3,4,15727,10900,1,2,17,1263,8,0,735,10102,1781,747,43,1,0,1,2,5759,5070,1290,0,50,26,34,2,26,7,41,5,True,100,198,18555,9058,859,6425,1913,704,99,206,5,1008,238,394,3,1,1,11
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,NONE,BOTTOM,TOP,11,11,230,True,1299,True,True,4,True,False,False,True,4,1,1,0,4,2,3,3,3,0,3,2,1,7,5,2,0,2,4,2,0,0,13322,12787,2,0,25,1182,1,0,465,12410,3835,1450,35,0,0,3,4,12313,2127,794,1,15,27,12,2,20,7,42,8,True,100,127,16325,7569,545,12913,4631,1611,31,275,4,1306,160,450,2,0,1,31
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,BOTTOM,NONE,JUNGLE,JUNGLE,12,9,253,False,2512,True,True,5,False,True,True,False,3,3,0,1,0,0,0,2,1,1,1,1,0,9,5,1,4,3,0,0,5,4,13903,8379,2,0,29,1173,2,2,506,10373,3165,1411,43,1,1,1,3,8348,2588,933,1,16,24,47,1,25,25,41,20,True,100,115,20190,3716,642,7366,4713,1980,35,126,1,659,943,418,3,3,0,19
9GOEKUzVb9yUCafj56m5Ic35imzbs89aRr9XxL2KXlGz1tZVWQe4q1UhbRFlmajB,False,MIDDLE,NONE,JUNGLE,TOP,3,14,120,True,1919,True,False,5,False,False,False,False,4,3,0,1,3,13,3,0,0,2,1,0,1,1,9,3,4,3,0,3,5,0,11873,12327,0,1,16,1286,10,2,725,6569,3764,600,15,1,1,1,2,12625,2650,1662,3,29,21,32,2,28,10,50,3,True,100,99,13493,4253,1246,9241,3392,1136,96,195,5,979,858,279,0,2,1,23
8VP4SMYfHrP7RLjXgFllMCsNMykkv5fl8iqoe2XGkTh8SjbiyITzM1tZff9nMv5K,True,TOP,SOLO,MIDDLE,TOP,0,6,200,False,1430,False,True,2,True,True,False,True,0,3,1,0,1,11,0,2,3,1,3,1,1,0,7,1,1,4,2,5,5,0,8944,10628,3,0,25,541,7,2,435,14191,2530,1005,16,1,1,0,10,5224,7901,2286,1,17,34,11,3,25,23,18,16,True,200,190,21345,8175,202,6809,3022,1397,42,140,3,1660,160,269,5,0,0,16
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,CARRY,MIDDLE,MIDDLE,13,12,135,True,1341,False,False,0,False,True,False,True,1,2,0,0,2,0,0,0,3,3,3,2,0,9,10,9,0,1,1,5,5,4,9820,11251,2,2,25,1267,9,1,839,13470,3336,778,36,1,1,2,9,13701,1429,2615,3,23,45,27,5,46,30,15,11,True,200,107,18315,9696,1249,8263,2464,1821,27,120,5,1078,549,222,0,1,1,27
nyXLOwHAEaHDXUKDhRImayTKe4f7woS2WN3S0e9m3MU8BtN89NQ4ybympNqwlBq6,True,TOP,SUPPORT,BOTTOM,JUNGLE,12,0,197,True,1746,True,False,0,True,False,False,False,2,3,1,0,6,4,1,2,2,3,1,1,0,5,5,2,4,5,0,5,3,3,13047,13327,0,2,17,992,4,1,845,11340,4205,1288,49,0,0,0,4,10458,1981,2735,2,41,11,29,5,42,30,10,16,False,100,107,14456,9433,520,12209,2850,570,80,184,2,972,941,245,4,0,0,20
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,JUNGLE,SUPPORT,MIDDLE,JUNGLE,2,5,119,True,1233,False,True,4,False,False,True,True,3,3,0,1,9,11,2,2,1,1,1,0,1,9,6,8,0,3,5,1,0,2,11073,9070,2,2,28,1403,6,2,848,13903,2527,1814,20,1,0,0,3,12741,2834,1312,3,49,16,42,2,23,20,25,4,False,100,63,18206,8232,1657,8046,3558,1543,10,125,2,1849,561,311,0,0,1,10
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,TOP,SOLO,JUNGLE,MIDDLE,0,11,150,True,2582,True,False,0,True,True,False,True,3,1,1,0,3,3,0,1,1,5,0,0,0,8,3,3,5,2,4,4,5,0,8178,9891,2,2,16,1444,8,2,527,5418,1135,581,40,0,1,2,3,19073,5800,2256,2,48,31,37,2,14,11,49,14,False,100,115,26134,6725,754,6498,1773,4,16,134,1,1451,418,355,2,3,0,13
YTE1Uzz226BQAizxryGz4UaChDnuZs7gK3Z49NSQJujdtET693DWb1FpJWfy0kAT,True,MIDDLE,NONE,TOP,TOP,2,0,104,True,2455,True,False,4,False,True,False,False,3,3,1,1,4,5,1,0,1,3,1,1,1,4,7,8,3,3,5,4,4,1,18968,11259,2,1,22,560,6,0,556,10037,3705,677,13,0,0,1,7,18611,7377,1520,2,34,38,38,2,28,2,16,14,False,200,91,17304,2856,294,7333,4856,1382,57,255,2,720,780,486,3,0,0,20
