puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
epduqhAjDHRrcPjYlnH6lQ5Qvs4NB4IQ9tsSNyTLB64V7PAfADqeULbtM04XFHnM,False,BOTTOM,CARRY,BOTTOM,BOTTOM,14,2,119,True,1252,True,False,1,True,True,True,True,1,0,0,1,2,11,0,3,3,1,3,1,0,10,0,0,4,5,3,3,2,4,19064,9232,0,2,17,1244,3,0,382,5784,1695,1816,50,0,1,1,6,10274,6567,2311,3,17,49,47,1,16,22,48,5,True,200,50,24444,4356,597,8683,2939,117,42,272,3,553,224,201,5,2,0,20
s4T39mFjhq6GkozuGwpdulVS5VD3TEViHV7lmjsYGP7rJjYf6393ryC33bwCOfOQ,False,MIDDLE,NONE,BOTTOM,TOP,3,11,258,True,1552,False,True,4,True,False,False,False,1,3,1,0,6,6,0,1,1,3,2,0,0,4,6,3,1,5,0,1,4,1,10810,9143,0,1,25,687,6,1,481,10872,1802,1374,48,0,1,0,7,18015,2919,1948,3,29,11,11,2,18,21,22,4,False,100,56,25728,6291,251,12261,1614,494,82,247,1,1813,708,416,3,3,1,35
kv3TgCd0Yp3csvgLOJHkXkKTqaMSsRC4F1TLG5Io2Npy8KrHxzabXSdqMZ2ycPx6,False,MIDDLE,SUPPORT,JUNGLE,JUNGLE,3,3,195,True,1569,True,True,3,True,False,True,False,3,0,1,1,1,13,1,3,0,3,1,0,1,1,4,7,2,1,1,2,1,0,15426,9269,2,2,17,1462,6,0,576,12081,3575,1085,49,1,0,2,2,17993,7835,1009,2,46,38,34,3,48,23,46,25,True,100,57,16032,8576,722,6947,2614,15,50,261,2,1109,121,281,3,0,1,44
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,JUNGLE,SUPPORT,BOTTOM,JUNGLE,7,13,113,True,2448,False,True,3,True,False,True,True,4,3,1,1,2,10,0,3,3,4,1,1,0,8,4,7,5,0,1,3,5,3,16064,13220,1,0,25,1108,10,0,477,8015,1759,1734,28,0,0,3,5,17414,7771,2008,0,11,47,22,5,50,7,29,2,True,100,164,15353,6016,357,9466,3062,1434,27,151,1,850,138,471,2,1,0,46
BvKDT4xEeKVLNg25NhOP4EWsBGjdMzvPvQ8xnMREoqnu4YTnWeymaTSKQrU98LB9,False,JUNGLE,SUPPORT,JUNGLE,JUNGLE,11,13,249,True,2388,True,True,3,True,True,True,False,0,1,0,1,10,1,3,1,0,3,0,1,0,10,8,3,4,2,3,3,3,0,11592,9452,1,2,23,1328,9,2,652,9095,1835,1279,24,0,0,1,6,5584,1838,1389,0,16,33,10,1,34,10,33,12,False,200,115,16208,7466,1513,14766,1351,1280,60,282,3,1346,782,197,1,1,0,46
ysyr5aYYw0CfzqjgDfr2HmobU7mS3v2zNPC1I0uAh2ec4zdSaSnGzKYv4rQ8Q1uA,False,JUNGLE,SOLO,BOTTOM,TOP,10,4,178,False,1204,True,False,2,False,False,True,False,4,3,1,0,6,1,3,3,1,2,3,0,1,10,2,5,3,3,3,1,1,5,18109,10077,3,0,28,1138,2,0,705,10815,4935,891,23,0,0,0,7,7596,3089,1528,0,12,48,41,5,26,7,17,19,True,100,130,28234,4306,72,12806,2692,1986,22,243,3,1958,828,359,2,0,1,16
Lz873NbZpJ2t9v66A5zkLjXZHk8L12FfIGNuqPYRaGlDyvesNPERuhFM4YbbeyAr,False,TOP,NONE,JUNGLE,MIDDLE,8,6,183,False,1780,True,False,0,False,True,True,False,0,0,0,1,4,12,1,3,1,2,0,0,1,0,5,0,0,2,5,3,2,3,14962,9085,2,0,18,1408,3,2,489,13684,4033,1017,34,1,0,3,9,6135,1612,1595,0,35,25,46,2,41,27,13,24,True,200,55,21898,9968,744,12888,1846,253,25,150,4,976,639,147,5,0,1,37
k3Cm3SEbj5cEWQGQLeL3D5sZnCjRK8dKvwZ45fB4Y7isnlWbfqHjTi7dWUvFZ5vx,False,JUNGLE,SUPPORT,JUNGLE,MIDDLE,14,8,130,False,2541,False,False,2,True,True,True,True,0,2,0,1,2,14,3,1,0,1,1,1,0,4,1,9,1,0,5,1,5,5,19240,13436,0,1,21,1278,5,2,628,10283,1620,922,44,1,0,1,7,6807,5001,1460,2,14,32,29,3,20,29,42,19,True,100,54,18072,8405,1946,10808,4148,1607,47,192,5,823,941,119,4,2,1,14
wBrd5MHr9Qgb8LlWBCqmtBCINGynVLpkwIzqU0oVneesp4TbinTVVPBvXrJVzxQI,False,JUNGLE,SUPPORT,BOTTOM,BOTTOM,8,6,132,True,1679,False,True,5,True,False,False,False,1,1,1,1,7,14,2,1,3,1,1,2,1,2,8,9,1,0,5,5,5,5,10646,14246,0,0,29,608,8,2,855,5913,1806,1916,50,0,1,1,6,11688,4497,2153,2,35,32,33,1,46,11,25,14,True,200,192,21252,6676,44,5283,1245,1760,49,105,2,772,919,130,1,3,1,43
NZkfJfhxm0YWaXc8YEEKJmTtllmeCZf7k9ZX9QTVu4Fa6g7gCAdTs4xsOicqNzoC,True,TOP,SUPPORT,JUNGLE,BOTTOM,3,9,126,False,1246,False,False,0,True,True,False,False,3,2,0,1,7,14,1,2,0,0,1,0,1,3,7,2,2,5,4,2,0,0,14456,13902,0,0,21,1031,8,0,308,5207,4023,1965,16,0,0,2,6,18088,6371,1102,3,23,14,45,5,16,26,22,5,False,100,178,29213,8244,1024,10455,3450,383,21,227,3,1592,975,106,1,3,1,49
