puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
sA4kUlO0XonlUzaK84bP5W2YaI5eacAZPWAkE9983jhUdnSCOcy9q4gevoeb3hZ8,False,MIDDLE,NONE,TOP,MIDDLE,8,3,286,False,2804,True,True,1,False,False,True,False,5,1,1,1,6,13,2,0,3,2,3,2,0,3,9,5,1,0,2,3,2,4,15984,13546,0,0,17,762,2,1,620,8528,1009,603,38,0,1,2,4,13393,2620,1727,0,21,29,20,4,26,7,25,7,True,200,76,21975,4959,1821,10538,4323,1024,34,218,1,1813,103,471,0,0,1,30
YOCx1KCvHeq2ixFJxnrtzDFNTc79EFvZBwQVjmW6UEV8goQ8iljKeUfgpGS3HIOY,True,JUNGLE,NONE,MIDDLE,JUNGLE,0,12,160,True,1652,False,False,4,False,True,True,True,4,3,0,1,3,5,0,2,1,1,1,1,1,6,6,0,0,4,0,2,5,2,12231,8495,0,2,16,663,0,1,652,14405,4474,814,15,1,0,3,2,6114,7879,1163,1,50,47,34,4,19,13,27,23,True,100,147,24653,4532,1487,9474,2609,21,25,225,3,1551,853,134,1,0,1,12
BGciYYBzpYjlk4aPdHUOowW24oEvZKrEGLDivyGWzUHKJ2lbnbUvkBnzsdRh6abv,False,MIDDLE,CARRY,MIDDLE,BOTTOM,2,14,211,False,1338,True,True,5,False,False,True,True,1,0,1,1,6,11,1,2,0,4,3,2,1,0,9,2,4,5,4,1,0,1,9392,11365,2,1,30,753,3,2,535,8734,3315,735,46,1,0,0,9,7213,2952,2210,0,30,23,21,1,47,9,18,24,False,200,185,22346,5373,734,5356,4085,1852,40,300,2,1833,597,225,3,2,1,47
JeInZqgCnuxKAhDr60v5NgCHhPYMRIFTyHeBY0X7BPhabWlmR55x1YObNB01voE0,True,TOP,SOLO,MIDDLE,TOP,3,8,110,False,1702,False,False,5,True,True,False,False,3,3,0,1,9,13,1,1,1,0,0,1,0,0,2,6,5,2,3,0,0,2,19488,14252,2,2,23,993,9,2,713,10757,3633,1905,34,0,0,1,2,12746,3307,2734,0,16,33,48,4,42,1,49,28,True,100,196,25593,2198,1689,6982,3291,906,27,246,1,820,948,197,2,3,1,47
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,JUNGLE,NONE,MIDDLE,BOTTOM,4,9,222,False,1742,False,False,2,False,False,False,True,2,2,1,0,8,5,3,3,2,4,0,1,1,10,7,4,4,5,3,5,5,0,15690,9632,2,0,28,1231,7,0,443,11276,3686,1052,26,0,0,0,4,16720,4574,580,0,25,31,31,5,35,9,35,23,True,100,69,20859,8333,1760,9254,2215,199,92,231,2,1711,770,137,3,3,1,27
XQs6ZMinpsiNs2L4wstNSzn5nyETcYUZ4BJIgbPazgazSdOg6rGbd10hr0cKXFJG,True,BOTTOM,CARRY,MIDDLE,JUNGLE,7,6,164,False,2297,False,False,2,True,False,True,False,2,1,0,0,2,11,3,3,0,5,3,1,1,3,7,8,2,3,2,0,5,0,14158,12732,2,0,22,968,6,1,359,7625,3482,1320,32,0,1,2,2,11314,7243,2922,3,13,20,31,3,46,27,47,15,True,200,58,16036,9481,1702,7042,3391,1382,87,148,1,619,702,148,1,2,0,44
pkrLeqQcC5iG6dMm3fv7rfR85km2OgLcOKkDSaIvNSFnm77Ng7p0bAmyBPC6Se1O,True,TOP,SUPPORT,TOP,TOP,9,11,166,False,1196,False,False,1,True,False,False,True,5,2,1,0,0,5,1,3,3,5,2,1,0,5,0,5,5,3,3,4,2,3,17412,11212,3,0,23,969,3,2,648,13538,2252,796,20,0,1,1,3,10019,6820,977,1,43,10,28,5,30,21,10,14,False,100,98,23152,8083,1344,8893,2093,932,31,172,5,1846,451,335,0,0,1,27
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,TOP,NONE,JUNGLE,BOTTOM,4,9,233,True,1305,True,True,0,True,True,True,False,3,1,0,0,4,10,2,0,3,0,0,2,1,6,4,4,5,1,5,1,5,1,8689,11358,0,2,30,1233,7,1,356,9648,1022,1992,30,1,0,0,6,7044,4710,749,3,44,36,44,4,50,11,38,11,False,100,131,28282,3697,564,12415,1126,1959,70,259,2,1686,164,214,4,1,0,41
3FP0554fBvFJD1ENrNvP6u7lkIy9P4AMug6ewPj0DucgTsFTDIYHf6uQA6udWUFt,False,MIDDLE,SOLO,BOTTOM,MIDDLE,5,12,106,False,1302,False,True,0,True,False,False,False,2,1,0,1,2,12,1,1,1,3,3,1,0,10,3,8,0,1,3,4,3,1,13177,13028,1,0,15,971,3,1,327,11026,2597,1430,29,0,0,2,3,18034,2210,1599,1,32,43,46,1,47,6,29,11,False,100,109,18303,8051,1802,7106,2534,1123,72,201,2,1547,831,227,4,1,1,17
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,TOP,NONE,MIDDLE,BOTTOM,8,1,107,False,2611,True,True,1,True,False,False,False,3,0,1,0,7,0,3,0,3,0,0,2,1,7,3,2,4,4,2,0,3,1,16982,9401,0,2,24,1344,4,2,367,10033,2045,1108,32,1,1,2,1,13255,3933,2996,1,18,27,50,2,16,5,36,12,True,100,74,13221,7554,1025,11557,4154,457,40,240,2,936,903,497,0,3,0,48
